BPM: 120
Time Signature: 4/4
Subdivisions: 2

            (2,a,003:01)
            (2,b,003:03)
            (2,a,003:05)
            (2,b,003:07)
            (2,a,004:01)
            (2,b,004:03)
            (2,a,004:05)
            (2,b,004:07)
            (2,a,005:01)
            (2,b,005:03)
            (2,a,005:05)
            (2,b,005:07)
            (2,a,006:01)
(1,a,006:07)
            (2,a,007:01)
(1,a,007:07)
            (2,a,008:01)
(1,a,008:07)
            (2,a,009:01)
            (2,b,009:03)
(1,a,009:05)
(1,b,009:07)
(1,a,010:01)
            (2,a,010:07)
(1,a,011:01)
            (2,a,011:07)
(1,a,012:01)
            (2,a,012:07)
(1,a,013:01)
            (2,b,013:03)
                        (3,b,013:05)
            (2,b,013:07)
(1,b,014:01)
(1,a,014:07)
            (2,1,015:01)
            (2,2,015:05)
(1,a,015:07)
            (2,1,016:01)
            (2,2,016:05)
(1,a,016:07)
                        (3,a,017:01)
                        (3,b,017:03)
            (2,a,017:05)
            (2,b,017:07)
(1,a,018:01)
            (2,a,018:07)
(1,1,019:01)
(1,2,019:05)
            (2,a,019:07)
(1,1,020:01)
(1,2,020:05)            
(1,a,020:07)
            (2,a,021:01)
                        (3,b,021:03)
                                    (4,b,021:05)
                        (3,b,021:07)
            (2,1,022:01)
            (2,2,022:05)
            (2,a,022:07)
                        (3,1,023:01)
                        (3,2,023:07)
                        (3,a,024:01)
                        (3,a,024:05)
                                    (4,b,024:06)
                        (3,b,024:07)
            (2,1,025:01)
            (2,2,025:07)
            (2,a,026:01)
            (2,a,026:05)
                        (3,b,026:06)
            (2,b,026:07)
(1,a,027:01)
(1,a,027:05)
(1,a,028:01)
                                    (4,b,028:03)
                        (3,a,028:05)
            (2,a,028:07)
(1,1,029:01)
(1,2,030:01)
            (2,a,030:07)
                        (3,1,031:01)
                        (3,2,031:07)
                        (3,a,032:01)
                        (3,a,032:05)
                                    (4,b,032:06)
                        (3,b,032:07)
            (2,b,032:08)
            (2,1,033:01)
            (2,2,033:07)
            (2,a,034:01)
            (2,a,034:05)
                        (3,b,034:06)
            (2,b,034:07)
                        (3,b,034:08)
                                    (4,1,035:01)
                                    (4,2,035:07)
                                    (4,a,036:01)
                        (3,a,036:05)
            (2,b,036:06)
                        (3,b,036:07)
                                    (4,b,036:08)
                                    (4,1,037:01)
                                    (4,2,038:01)
                        (3,a,038:03)
            (2,a,038:05)
(1,a,038:07)
            (2,1,039:01)
            (2,2,039:05)
(1,a,039:07)
            (2,1,040:01)
            (2,2,040:05)
(1,a,040:07)
                        (3,a,041:01)
                        (3,b,041:03)
            (2,a,041:05)
            (2,b,041:07)
(1,a,042:01)
            (2,a,042:07)
(1,1,043:01)
(1,2,043:05)
            (2,a,043:07)
(1,1,044:01)
(1,2,044:05)            
(1,a,044:07)
            (2,a,045:01)
                        (3,b,045:03)
                                    (4,b,045:05)
                        (3,b,045:07)
            (2,1,046:01)
            (2,2,046:05)
(1,a,046:07)
            (2,1,047:01)
            (2,2,047:05)
(1,a,047:07)
            (2,1,048:01)
            (2,2,048:05)
(1,a,048:07)
                        (3,a,049:01)
                        (3,b,049:03)
            (2,a,049:05)
            (2,b,049:07)
(1,a,050:01)
            (2,a,050:07)
(1,1,051:01)
(1,2,051:05)
            (2,a,051:07)
(1,1,052:01)
(1,2,052:05)            
(1,a,052:07)
            (2,a,053:01)
                        (3,b,053:03)
                                    (4,b,053:05)
                        (3,b,053:07)
            (2,1,054:01)
            (2,2,054:05)
            (2,a,054:07)
                        (3,1,055:01)
                        (3,2,055:07)
                        (3,a,056:01)
                        (3,a,056:05)
                                    (4,b,056:06)
                        (3,b,056:07)
            (2,1,057:01)
            (2,2,057:07)
            (2,a,058:01)
            (2,a,058:05)
                        (3,b,058:06)
            (2,b,058:07)
(1,a,059:01)
(1,a,059:05)
(1,a,060:01)
                                    (4,b,060:03)
                        (3,a,060:05)
            (2,a,060:07)
(1,1,061:01)
(1,2,062:01)
            (2,a,062:07)
                        (3,1,063:01)
                        (3,2,063:07)
                        (3,a,064:01)
                        (3,a,064:05)
                                    (4,b,064:06)
                        (3,b,064:07)
            (2,b,064:08)
            (2,1,065:01)
            (2,2,065:07)
            (2,a,066:01)
            (2,a,066:05)
                        (3,b,066:06)
            (2,b,066:07)
                        (3,b,066:08)
                                    (4,1,067:01)
                                    (4,2,067:07)
                                    (4,a,068:01)
            (2,b,068:06)
                        (3,b,068:07)
                                    (4,b,068:08)
                                    (4,1,069:01)
                                    (4,2,070:01)
                        (3,a,070:03)
            (2,a,070:05)
(1,a,071:01)
            (2,b,071:04)
(1,b,071:07)
(1,a,072:01)
                        (3,a,072:05)
            (2,a,072:07)
(1,a,073:01)
            (2,b,073:04)
(1,b,073:07)
(1,1,074:01)
(1,2,074:07)
(1,a,075:01)
(1,a,075:04)
            (2,a,075:07)
                        (3,a,076:01)
            (2,b,076:06)
(1,b,076:07)
            (2,b,076:08)
                        (3,a,078:01)
            (2,a,078:03)
(1,a,078:05)
